Subject ID,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,ROI_7,ROI_8,ROI_9,ROI_10,ROI_11,ROI_12,ROI_13,ROI_14,ROI_15,ROI_16,ROI_17,ROI_18,ROI_19,ROI_20,ROI_21,ROI_22,ROI_23,ROI_24,ROI_25,ROI_26,ROI_27,ROI_28,ROI_29,ROI_30,ROI_31,ROI_32,ROI_33,ROI_34,ROI_35,ROI_36,ROI_37,ROI_38,ROI_39,ROI_40,ROI_41,ROI_42,ROI_43,ROI_44,ROI_45,ROI_46,ROI_47,ROI_48,ROI_49,ROI_50,ROI_51,ROI_52,ROI_53,ROI_54,ROI_55,ROI_56,ROI_57,ROI_58,ROI_59,ROI_60,ROI_61,ROI_62,ROI_63,ROI_64,ROI_65,ROI_66,ROI_67,ROI_68,ROI_69,ROI_70,ROI_71,ROI_72,ROI_73,ROI_74,ROI_75,ROI_76,ROI_77,ROI_78,ROI_79,ROI_80,ROI_81,ROI_82,ROI_83,ROI_84,ROI_85,ROI_86,ROI_87,ROI_88,ROI_89,ROI_90,ROI_91,ROI_92,ROI_93,ROI_94,ROI_95,ROI_96,ROI_97,ROI_98,ROI_99,ROI_100,ROI_101,ROI_102,ROI_103,ROI_104,ROI_105,ROI_106,ROI_107,ROI_108,ROI_109,ROI_110,ROI_111,ROI_112,ROI_113,ROI_114,ROI_115,ROI_116
OAS2_0001,0.328375789,0.310736103,0.331465683,0.365400135,0.473319263,0.513657707,0.365515457,0.426602877,0.43591225,0.491478052,0.370479582,0.305758047,0.348342835,0.353491574,0.465747141,0.481203139,0.431149171,0.425295143,0.430229244,0.391054714,0.640558966,0.624580254,0.384892499,0.433453879,0.534673546,0.58582585,0.634076003,0.650693418,0.56227271,0.533763665,0.52650369,0.478239133,0.459543791,0.478657346,0.415515477,0.383927286,0.477180454,0.421849087,0.522874055,0.516104303,0.70218088,0.598746945,0.494298226,0.511254128,0.444976762,0.470695634,0.482264356,0.484603386,0.395064645,0.364144661,0.447424153,0.386690395,0.501338273,0.445765433,0.556261213,0.536128171,0.336864479,0.327451019,0.358862616,0.279223118,0.403373489,0.375964056,0.456318741,0.443243097,0.41427943,0.439326085,0.400025124,0.436761568,0.324371576,0.312414446,0.340861991,0.380267755,0.583603383,0.566187001,0.282374891,0.22986314,0.315857765,0.377867371,0.52533371,0.496561337,0.493123963,0.454587938,0.338324983,0.353611358,0.461085063,0.474913915,0.473002223,0.414290903,0.531770673,0.567406704,0.461834918,0.437331749,0.515026838,0.452240425,0.376622147,0.313330674,0.581818358,0.593808045,0.6789143,0.656031255,0.528599833,0.638291267,0.489744774,0.527923876,0.512533695,0.567571009,0.158964496,0.11710706,0.34307733,0.332690948,0.476891345,0.52526057,0.610924555,0.692714543,0.666303512,0.212833327
OAS2_0005,0.265462155,0.284931176,0.280695451,0.311896457,0.317295787,0.329172761,0.288062515,0.330814645,0.278311044,0.296519682,0.282125885,0.302587928,0.269104022,0.263529516,0.326649519,0.33299868,0.297568278,0.334270707,0.362823297,0.33805306,0.509182369,0.503711229,0.278094511,0.304336347,0.315905434,0.358869574,0.438376339,0.460399274,0.385088891,0.38523669,0.410452668,0.383714816,0.42250862,0.385070948,0.363181137,0.284025575,0.438128389,0.426245586,0.51883081,0.536825838,0.61430551,0.620912377,0.337473067,0.358391489,0.346174633,0.349506844,0.406959866,0.40613366,0.307324742,0.345981313,0.340928991,0.394403526,0.378971077,0.400340616,0.506506779,0.51033848,0.279243448,0.251647762,0.322937855,0.277702587,0.327288821,0.357717474,0.365271648,0.336652751,0.344570288,0.335909396,0.404060424,0.396943688,0.277593282,0.317173039,0.366391506,0.375378601,0.476448906,0.480386516,0.239275985,0.218211812,0.327710766,0.369384517,0.306151501,0.295027265,0.312599098,0.268029771,0.269054869,0.279936069,0.404260208,0.431844795,0.400988922,0.378415963,0.473986763,0.458444942,0.484634504,0.467496753,0.537320622,0.485284983,0.360749883,0.324870196,0.583051513,0.630086019,0.692014557,0.673575986,0.517142992,0.628374045,0.462259645,0.50262995,0.456699262,0.492108005,0.1490287,0.131028191,0.329704605,0.320141765,0.462998602,0.47886706,0.563095503,0.683033164,0.587779536,0.198032655
OAS2_0007,0.254750877,0.257338953,0.292834118,0.264671882,0.398140721,0.351933804,0.317767417,0.328206684,0.35885405,0.375535226,0.357135759,0.326836759,0.306236965,0.279142597,0.390922698,0.36422408,0.359957,0.356124564,0.289651486,0.280290781,0.51795523,0.45762807,0.269983258,0.284625297,0.376062029,0.381690875,0.474149532,0.458190833,0.428329033,0.401541567,0.400788834,0.391405063,0.34860726,0.357277927,0.226074739,0.205618622,0.381609637,0.30513929,0.436223739,0.385887985,0.528605954,0.408461937,0.35277663,0.341206974,0.308083145,0.271112202,0.374555594,0.332799281,0.255323196,0.225306658,0.328596399,0.303273084,0.361725011,0.311089619,0.508372767,0.447320012,0.254678843,0.242941682,0.23567792,0.205033263,0.309081891,0.302026898,0.36390632,0.328306524,0.306419916,0.307861465,0.263142963,0.263618141,0.243999124,0.302348527,0.24885851,0.246106775,0.448751607,0.391189299,0.223489909,0.165582269,0.253684532,0.258971361,0.389742864,0.341003281,0.354070272,0.288992172,0.316174329,0.250427831,0.390411359,0.357918061,0.453812798,0.336212543,0.436931468,0.417721371,0.478452373,0.457266881,0.495613401,0.429368361,0.35435078,0.32633797,0.503149307,0.562150737,0.665389578,0.642877681,0.480687416,0.580764298,0.455281391,0.480491829,0.434709245,0.453545347,0.137343058,0.118622353,0.37950185,0.330435314,0.380093384,0.441531007,0.554831024,0.641267134,0.561767508,0.2136956
OAS2_0010,0.280047406,0.297505023,0.291329223,0.323008426,0.429694823,0.414882421,0.343897094,0.357219327,0.41268316,0.423508613,0.314875582,0.316918424,0.377178916,0.322798039,0.421802236,0.39951457,0.296840757,0.34550818,0.306817878,0.336970608,0.454619435,0.438342573,0.32008079,0.362609837,0.44216005,0.441985968,0.511234289,0.488524393,0.402892451,0.413902333,0.426961979,0.433652007,0.411522123,0.418691179,0.346241397,0.29322078,0.390095138,0.384704904,0.456533674,0.480097416,0.557668275,0.540625687,0.374483986,0.347932907,0.312920431,0.308720706,0.421157379,0.40306074,0.294855107,0.297641301,0.363564108,0.34305631,0.39652611,0.330138016,0.485918471,0.484735702,0.275903863,0.291751764,0.2687937,0.239900422,0.341338663,0.36457866,0.347341729,0.368635364,0.416972689,0.408561499,0.346506669,0.337308388,0.248285131,0.248727804,0.283301561,0.282848758,0.485035286,0.455043223,0.228666537,0.188667237,0.326443995,0.359782776,0.309403263,0.326778484,0.335260759,0.33480077,0.297333414,0.276141497,0.399610992,0.425896795,0.405519169,0.368281192,0.435903369,0.43855642,0.400546872,0.367840291,0.412824649,0.349479625,0.286815295,0.26386197,0.442178144,0.480559981,0.562364918,0.536687198,0.385817355,0.469584637,0.348693784,0.383979563,0.375516048,0.415021328,0.127153001,0.134607228,0.309793453,0.273754026,0.345968393,0.414761489,0.449908076,0.512534481,0.506002226,0.157814539
OAS2_0013,0.247046504,0.241039109,0.24528063,0.240962742,0.348234223,0.325549536,0.276697961,0.275589241,0.355990832,0.335164441,0.282214539,0.292082423,0.292069628,0.243113762,0.337173994,0.342307246,0.250687363,0.279852976,0.291679865,0.28454348,0.425019706,0.422228801,0.260941458,0.261682624,0.324940823,0.336958417,0.390775834,0.412838275,0.341018075,0.362913529,0.328401538,0.340418004,0.359748728,0.360011947,0.297548365,0.229087562,0.369666463,0.328441687,0.410914238,0.425248105,0.573654953,0.516674005,0.31563309,0.294250421,0.274512231,0.287186137,0.332978147,0.340808588,0.244253005,0.265311863,0.329143799,0.316560854,0.372577874,0.32659194,0.438081225,0.414461739,0.219315826,0.243990391,0.253536381,0.217142491,0.287691051,0.292049985,0.29677205,0.323458245,0.34733719,0.310483392,0.317646321,0.304033945,0.222709201,0.24515892,0.246361141,0.257519075,0.440939914,0.419171173,0.212814611,0.182241111,0.272170306,0.280649227,0.271323192,0.302821298,0.269933471,0.300057526,0.263352383,0.24244379,0.348896925,0.359478961,0.374017324,0.323514001,0.406901957,0.397404904,0.374378867,0.337851351,0.392477851,0.346249639,0.279710247,0.264423768,0.40948317,0.471243761,0.495977844,0.472728433,0.372811681,0.452822789,0.338930735,0.358452028,0.292592513,0.302700138,0.132554075,0.109551228,0.288043182,0.25536919,0.305809293,0.33868484,0.404975332,0.449699465,0.381658715,0.154140714
OAS2_0017,0.266273048,0.236124248,0.265001622,0.283649796,0.310034244,0.323666856,0.291256579,0.289538993,0.310162913,0.334172699,0.343777322,0.275070523,0.270621669,0.217958183,0.332162037,0.307776569,0.306480463,0.304367284,0.307248956,0.33364992,0.423938252,0.401867089,0.240589604,0.260631847,0.34455611,0.339689562,0.339907175,0.353693931,0.392993431,0.385975485,0.294250708,0.314467657,0.340808419,0.370118875,0.319894995,0.242493227,0.36726752,0.352987816,0.440502414,0.451328105,0.531386376,0.505985153,0.464042528,0.42850102,0.435029995,0.375493897,0.432507851,0.439895676,0.344520313,0.289309152,0.397553265,0.382189299,0.462869082,0.415762303,0.548466262,0.504775183,0.230164809,0.228685491,0.267413414,0.241330117,0.296475589,0.36131972,0.313000838,0.373036041,0.41046953,0.392551034,0.382980278,0.371966868,0.263979482,0.327095211,0.333654787,0.330488072,0.505993588,0.477721661,0.266546661,0.215220104,0.23703622,0.293161833,0.314397187,0.281269156,0.306179812,0.302515539,0.271911757,0.234507837,0.415081911,0.399645048,0.438509038,0.320330679,0.478892916,0.47356458,0.491368298,0.432416779,0.521516715,0.430202894,0.311313584,0.260536838,0.4805955,0.513149307,0.601813894,0.587851745,0.513122237,0.597205971,0.50663897,0.528806182,0.420272528,0.437608549,0.146916572,0.12382224,0.282390487,0.288603459,0.376887912,0.462880986,0.625485489,0.624251454,0.481303109,0.155811946
OAS2_0021,0.37251113,0.377288421,0.325059881,0.331607638,0.441156424,0.450545302,0.383586499,0.408756719,0.396851671,0.447876733,0.369098259,0.376913662,0.332437223,0.338434101,0.426781817,0.424456522,0.376338239,0.423612115,0.352806782,0.378175616,0.576317939,0.567954899,0.350541736,0.356550936,0.485505431,0.525493974,0.57714825,0.572594747,0.458024936,0.478827944,0.514184219,0.51908254,0.444214782,0.445963314,0.357294732,0.309718269,0.360343997,0.355405856,0.401315298,0.451971147,0.524632489,0.527971633,0.477367872,0.475748187,0.417078083,0.379024152,0.457505948,0.449796445,0.360174141,0.345538597,0.436652073,0.446664168,0.47647433,0.487062697,0.512798108,0.53209711,0.31639431,0.324605145,0.299841952,0.253063167,0.364673173,0.328538074,0.375846485,0.413823061,0.389040253,0.328935096,0.394985832,0.374191279,0.401493519,0.429587016,0.285447311,0.267864516,0.483750925,0.461884867,0.24530999,0.207377018,0.289681687,0.330994494,0.385298901,0.389578911,0.348347029,0.307531043,0.284452466,0.286528663,0.420062866,0.46214284,0.471588848,0.419219805,0.508313538,0.501112139,0.429787647,0.405231996,0.572608843,0.480390549,0.368196928,0.315487202,0.548297358,0.595846989,0.619899865,0.610765169,0.576835528,0.669481892,0.478729883,0.515954514,0.384926445,0.376985243,0.145331372,0.129718516,0.369606782,0.336657842,0.43814061,0.450677586,0.546213163,0.618841459,0.469287351,0.19402888
OAS2_0023,0.167569213,0.160044342,0.182906493,0.192958573,0.24877141,0.213684918,0.184406157,0.209695468,0.220540977,0.211426904,0.226664282,0.201144037,0.222482878,0.208229045,0.215227587,0.209252966,0.240605184,0.251142292,0.215513966,0.193734422,0.270456812,0.283414653,0.192060649,0.205879791,0.234602468,0.245541872,0.261939852,0.269197741,0.272457489,0.266523135,0.244684316,0.254494148,0.239960345,0.244209333,0.160559201,0.121421459,0.212982852,0.21573405,0.210422292,0.255476044,0.287497465,0.314315092,0.223303796,0.202866904,0.22494115,0.180603943,0.243438251,0.232206335,0.193124272,0.148465929,0.222640359,0.184926445,0.208782325,0.183726484,0.266316885,0.271556906,0.161391811,0.161841714,0.175061951,0.136051934,0.193656267,0.204740229,0.229352702,0.215207059,0.218316905,0.207196813,0.203413298,0.194955431,0.115765467,0.145863151,0.201576629,0.215847894,0.323224284,0.297160512,0.174083474,0.134933541,0.160920521,0.160887586,0.245919919,0.224218064,0.244616764,0.221577844,0.127919802,0.136929247,0.238682968,0.208095737,0.146320169,0.169744728,0.22575835,0.220709035,0.357497631,0.352117325,0.376146475,0.310695291,0.242874423,0.201911915,0.355214699,0.366211159,0.464737882,0.449560942,0.338786655,0.395762671,0.301048406,0.32164427,0.270876637,0.287955709,0.10411043,0.097639743,0.231298012,0.228411441,0.29401599,0.35315538,0.431306451,0.451635695,0.367446733,0.137783681
OAS2_0026,0.270444087,0.25574067,0.28012101,0.287545848,0.383015616,0.360421236,0.287373271,0.298312913,0.361250552,0.370629683,0.30156257,0.308357909,0.259902394,0.332930672,0.412176516,0.427990829,0.351209424,0.329354466,0.337841641,0.338794693,0.427730526,0.427939816,0.290652809,0.317650299,0.374153024,0.39932358,0.440767968,0.444094813,0.38525976,0.40753383,0.331880751,0.320826191,0.381165564,0.363278802,0.318075651,0.225916918,0.322611665,0.350448819,0.379278948,0.45879256,0.494312301,0.521026536,0.343931081,0.330975136,0.312150741,0.34531866,0.354053854,0.350176396,0.252567156,0.254404315,0.325654405,0.303229764,0.353348027,0.338343406,0.448218663,0.47655845,0.251046991,0.248016028,0.256908702,0.233616975,0.309958556,0.294729936,0.333286178,0.362779479,0.317117483,0.291589315,0.29514593,0.306971891,0.264048934,0.311375785,0.217420483,0.20704997,0.410707724,0.40213993,0.201805679,0.175261164,0.277718388,0.327194101,0.35201054,0.346315611,0.345267611,0.33000747,0.292588635,0.263389286,0.38731913,0.401544421,0.408862664,0.364769442,0.412232692,0.439807653,0.385475379,0.387420878,0.400476258,0.404195123,0.331530732,0.295328471,0.463684835,0.509165932,0.516638113,0.494126665,0.394539109,0.479130577,0.34755685,0.368375399,0.346101409,0.378121373,0.134419591,0.117430675,0.358151421,0.308566159,0.36672065,0.35464031,0.413832369,0.478349441,0.445074843,0.16104566
OAS2_0027,0.26990561,0.250564452,0.254271457,0.268517786,0.374775843,0.361049431,0.301717532,0.331220216,0.367241645,0.364364478,0.340603425,0.31096764,0.310673552,0.266404476,0.374283269,0.360674994,0.343874435,0.327036338,0.29847903,0.327806773,0.409932878,0.389917142,0.267345319,0.267829671,0.356780626,0.37874951,0.425214703,0.424950962,0.374044446,0.379457117,0.362878888,0.379839274,0.371667399,0.385423645,0.283386894,0.249803469,0.391565184,0.367368744,0.442950985,0.455366811,0.533410586,0.515638601,0.412451665,0.423679713,0.343875837,0.348391771,0.399539044,0.394164617,0.307078961,0.295984918,0.343453112,0.356382945,0.365438948,0.391447506,0.455933268,0.454827676,0.245870162,0.235169074,0.245576505,0.200941188,0.289867418,0.270561709,0.317301445,0.309441819,0.366764918,0.330441771,0.33516626,0.328789788,0.279419609,0.301506231,0.231736058,0.232507288,0.411585625,0.392142236,0.210189787,0.172099278,0.274512656,0.314230701,0.340634025,0.329587021,0.332295776,0.335373988,0.273183462,0.237209288,0.389944945,0.396989425,0.400290471,0.330356563,0.415611989,0.405457288,0.377617322,0.376448279,0.440736241,0.37898554,0.285544716,0.265373244,0.432268958,0.465242106,0.5349638,0.501257771,0.420182894,0.515533795,0.363852538,0.399014206,0.342918262,0.37334077,0.12339868,0.115198739,0.32729028,0.29547559,0.352598694,0.395160451,0.464293633,0.512349033,0.411282352,0.159514596
